crypto_address,crypto_name,flagging_reason
1KfDSTkha7VFhXthkrBQz1NU5neYA5KZ2W,Bitcoin,Blackmail Scam
1MGhQywSXbXcDM6AFFziyKvADwpBELtvAx,Bitcoin,Blackmail Scam
1Bs6CYDuHy1UGLr5ccz2UxRNcPGpeAa7tz,Bitcoin,Blackmail Scam
1AUWTKftT3jtsee7q4A7JRiGea5x1vJxys,Bitcoin,Sextortion Scam
bc1qee5ku3jfe9yx224sw8zu2jd3u9axlnye5kwa20,Bitcoin,Blackmail Scam
15YkYq1EVKCBVCP7mWLjT8hS43upERzegP,Bitcoin,Blackmail Scam
1AbTjSx2ix3FvE5RhGCEst1unxYwQLiRUV,Bitcoin,Sextortion Scam
1CLJdMbhAR2NjPHMiAiwUViwFbHT6BHJDh,Bitcoin,Blackmail Scam
1HiQtfJzyLk2P7Na6J1SHK7KsYVsFf23ZB,Bitcoin,Ransomware
bc1qrpprguyrj4vs3nvzlfffeehzr6kg96c2rlz34c,Bitcoin,Sextortion Scam
1CBJ72b7bpizMp1hMAg5Uk7ip6aduWhnbC,Bitcoin,Sextortion Scam
3NESAv1FSsa5MHcpxUYnuPueZJp5SgA18T,Bitcoin,Ransomware
1DH5spYFa73NYEVPWDuJQnWf96Uvx8ETYo,Bitcoin,Blackmail Scam
14m68mgbtdyDuq6s28UQD5WA72vGscVzre,Bitcoin,Ransomware
1A5xMZUnGv4EmLQF2xq8zPYLpD93m7LJU5,Bitcoin,Blackmail Scam
3FaBb1JMBtDqerReCnEzfvfXQAd85WfWL6,Bitcoin,Blackmail Scam
1AVSEj7UKjadhWCjcPcC1mbS5VVv89Hvgb,Bitcoin,Other
1KuyExEtLfhM1qzzgGLdTKZvquMH6y6Kss,Bitcoin,Blackmail Scam
3QS8mSeJHxXMKYrt8Rxow83gC9M3j6itdo,Bitcoin,Other
3GEP3PvrqH8DeJv6mtSZ97TeLciMk7ZwMy,Bitcoin,Other
1AtH3ofaDfjAcqAqLqtwXGLqJGLRVG5mE8,Bitcoin,Blackmail Scam
16cX1KRRPc56LuZrWFJPXLLvrr8m4DVPrS,Bitcoin,Blackmail Scam
1PNWAfqoNQhTR2jCpcSPL6P5XrCxCofqB3,Bitcoin,Blackmail Scam
1AsRkzQSorZAc66fdXof9NHTNJdU4T8nC8,Bitcoin,Sextortion Scam
bc1qgn5rpt7jafdrfhns8syxuavvvsmqea3tma2nku,Bitcoin,Ransomware
1DfsSbGUkPfCohNccx1F8Cxnd7skUv7Ed7,Bitcoin,Blackmail Scam
34PNhUzDJf3Ek12A8XV267MHutZQ8CzjrT,Bitcoin,Ransomware
bc1qr84pxfudj07xfkh2t75598j8vfrx6zzm0ud2fq,Bitcoin,Sextortion Scam
1GUBJLcDp19DHhRbH1up8dWwPAeWJfENCz,Bitcoin,Ransomware
bc1qcngyepc595y7728nvw6xalk0dupxq5pfukfa90,Bitcoin,Blackmail Scam
19BnaaY36NZqsz6TzkbsCXXC9PCoDzsrpq,Bitcoin,Blackmail Scam
1EGn65XkZp4WLwcNCR3cd6Ycaa2oDcodnX,Bitcoin,Sextortion Scam
1CoY8NBWVc3eMixYDEVdb6YgVVXwpjCnVu,Bitcoin,Blackmail Scam
3Da1mghfn7YashS8vqAYMLs68RA2XH2k3U,Bitcoin,Other
32BdZBZxjpDaBPHTTS8tQ7N9isZhUWwY9L,Bitcoin,Ransomware
1oGH1viQdZ1jfmh2efapadWamHtEEffRd,Bitcoin,Other
18bXumqdUDiQDU4J3u1MUwmBRigycQ7PPz,Bitcoin,Other
bc1q9ll59ue2ka0waqw5pccc4u9v92gqp0au80fnng,Bitcoin,Sextortion Scam
1BDs9mUkreQ67XKpLZU5Nj6bLFk7CPTizv,Bitcoin,Blackmail Scam
bc1qw7wxrse5u2n5cnhel27j2n24j22pngaw9vzxsz,Bitcoin,Ransomware
bc1qt602erjz996gx03kvkqhlfjf70774z4zclz952,Bitcoin,Other
3AnWu9DkuiL9T96JVBVxYVayJoZUm6CQ5c,Bitcoin,Blackmail Scam
bc1qlje7jwc46uz992ds2cltv9cz4q35ht943zhr9w,Bitcoin,Sextortion Scam
3DVyND777DTix8dEKK9vNEJm2cU9mb2uw1,Bitcoin,Blackmail Scam
bc1q7yrgkhue29vm5c8sylqnpfm5v5523h39uegk06,Bitcoin,Blackmail Scam
1GsPWV95qHmGH95WQ2DBoYg37ax3egYf3U,Bitcoin,Other
1HDakSgwBBwb65EeJmXG5qVz6PYHgxWVtq,Bitcoin,Sextortion Scam
1K5gLeGFrhbsKXBQQK23TPGfqrAwgqgPkC,Bitcoin,Ransomware
1A9BETba26w9NDdGgu8GUrgehw4NsgzJGd,Bitcoin,Ransomware
1P7bLeCJywaaDRQpT7iwb4qzUHa4CpRFyP,Bitcoin,Blackmail Scam
bc1qn9jfk9c5w5jk9d2na864ku0szfdh9s7a4sn3dc,Bitcoin,Blackmail Scam
1Bwun29XFg56ji9FRBnLbB3rjuKxCfhBVf,Bitcoin,Blackmail Scam
1Ew8qGXD6rgBZGv4TiStYJQp8H3qwo3s3Z,Bitcoin,Sextortion Scam
16HzH2qVSz5jpVSJ1NszyGSZ3rppdXAftk,Bitcoin,Ransomware
3PkSGUkcuV5EfakDYJxH5jW7FpDC9jsJfp,Bitcoin,Blackmail Scam
bc1q6qtcqfs3hrufv0pqswxg0u82p35f6arvncxq6c,Bitcoin,Blackmail Scam
34QZXVnHiMj1Psh6MUB31Mb2hhczvSdSjh,Bitcoin,Sextortion Scam
1KRWqJafKM9h7uduqhWrXPVrFGuW6oSr9V,Bitcoin,Blackmail Scam
13NwRVSZprxg4s43969VgCrGBStwdxAqkS,Bitcoin,Sextortion Scam
1Vq6bDLn4sr2U7ouj3ZdNPqNtRaBaqR6P,Bitcoin,Blackmail Scam
1AcLSfC3pqLErNaRkPdQZriVW72KVu1cha,Bitcoin,Blackmail Scam
3K67H8KWVCstbNCeu84RYRi4KzBPrw3mJL,Bitcoin,Romance Scam
bc1qhfr9re998vwak943w92t758w2amz23qfmzwnd4,Bitcoin,Blackmail Scam
16VtsauaxvT7x2GUpbDzNAmSVRkMA3kEpL,Bitcoin,Blackmail Scam
3FXkq99GTysukGzvREcRVdr9ddHZ44Fdfw,Bitcoin,Sextortion Scam
bc1q2qrt5vqmfey6tyrj7m5eqygnsle2y56ja0wlvf,Bitcoin,Sextortion Scam
bc1qlfg9cd634kkhk6c55pldmknqrdzj6zpz4r75at,Bitcoin,Sextortion Scam
1LaRdDhKhaGrpAjhjv5Ydnmsf9wwpZAQuz,Bitcoin,Sextortion Scam
bc1qq8et35kfenne728t4zddwrf08a2llg9vxumuz8,Bitcoin,Sextortion Scam
bc1qs9kfgrq6e0jvr9u3det3279szth2sd36tjwed4,Bitcoin,Phishing Scam
3JeuTRftWrdq87eRndNofuJS2iWxsr9xTP,Bitcoin,Blackmail Scam
bc1qu6dyjdgmxky5y70tmagsr9vckl2s8kgappgy7v,Bitcoin,Other
15sDiqmTdpWQhRzhCiqLxRcyBupegExEdm,Bitcoin,Sextortion Scam
1HZcM4MQyJSBvRKhxXMhoHFdk1qppxLhEm,Bitcoin,Sextortion Scam
1PTTaRgE1aU5QwKWb3ytoDkWW6UwF9yJ6a,Bitcoin,Other
1FZfLV2Qwbxnm3HrYNA2UwJLrrpGSmu1mu,Bitcoin,Ransomware
bc1q0te2v3ghsrs8em5s90ey3n546qlm4vf9f0arcp,Bitcoin,Blackmail Scam
1BLm91F6RgNFj1NsAmobWjwFUMQLp6cNkG,Bitcoin,Sextortion Scam
1LJNYEhpg7KzgqRewTsRtjiHRLQP2epgfD,Bitcoin,Blackmail Scam
bc1qw350qw83ddmnvd6c37mjjettp3jr724nt9k9wm,Bitcoin,Other
3AJ98sPaz5QWXesFqXz332QqqxeDX5ykDN,Bitcoin,Other
1971pHPgLaTmuYtoH4BsGSfFMZaAjotium,Bitcoin,Blackmail Scam
1GXDt3MAyT5D7Sjwa9MShLCDdPKx9mpDNZ,Bitcoin,Blackmail Scam
1HrGztcnbjYBypShW9jfuc9aNw7QGUQyp9,Bitcoin,Blackmail Scam
16ur9VzhJHBHoXa8E11TjCmTmxyiacrjes,Bitcoin,Ransomware
bc1qdxfwfvyljtcxyhjkns5ncvnc753qjqft5yhl9m,Bitcoin,Other
1bX9J8fa4fXocPa8UXz1GpnzQajgZcBgQ,Bitcoin,Blackmail Scam
35gK3wNyfkFp5bfLj9LJh4JqMq8WeP5tNG,Bitcoin,Ransomware
13DkeF9HbpmHatg9m942uSAGbMMqYn8N3Q,Bitcoin,Sextortion Scam
1JU8D972rm4LkpoHeaLZGdVbteekKyViMM,Bitcoin,Other
35woC8tLZSWyxvt4eLDhZKYUu9BwRf1DqC,Bitcoin,Ransomware
1KTyaxi2sDGQRvtbzMArNvqij1fo4mj32x,Bitcoin,Sextortion Scam
3G3XzZmUFvnWby6WbmCX8Ky51NUGc8BTAu,Bitcoin,Ransomware
bc1qt0xkp48v5xn9r02lpfrrtyp26yxsz2tx5u5jpt,Bitcoin,Other
1ARYE8bJ9Hrx2DecYSEhYiXnVXqaaf7Gga,Bitcoin,Ransomware
bc1qr0kcpwmjazlfaflmve4wn807nw28walqdraj6l,Bitcoin,Sextortion Scam
1GRo1bpNQNtHLGrqhkasyGYzydNcyNgbGV,Bitcoin,Other
15KeqcugUwrsYuCBMrJb2vNrzoSi413XTM,Bitcoin,Other
34gC4ogbjqo5NcksFsD3gJMtbeLdeVsit5,Bitcoin,Sextortion Scam
113RktQLJ5cwJ5UuNC3DXzwos559DLLreP,Bitcoin,Sextortion Scam
1JQymC63oneHdXbKtdcDqgS1Jjm2eTZoxy,Bitcoin,Blackmail Scam
18vgH19fP57RtXPnmxd4o1wiAmqbLMCYri,Bitcoin,Other
bc1qhuc4zvvn49gsgzsxl4z8h0tcwgsqxjqagfvzcz,Bitcoin,Ransomware
14mVqURnQgC6d3Kc4HpgkXAijs5kMYmpVj,Bitcoin,Ransomware
3LmeRPsHjrzdu1NJuzzpHVhAndYqZqcLrc,Bitcoin,Other
1B6o6Cbx6Ynq364xGNeSSDhDQjp8wScTFF,Bitcoin,Blackmail Scam
3ELyHcLpsS1iHe9iFsPZVRWtaaProD36x1,Bitcoin,Other
bc1qkwgef30rwm73fjqtgcgpgug9ejxme8xzln6zmk,Bitcoin,Blackmail Scam
1P3eUgQzL12tDo2oh9csyo7HFxLer8vJsG,Bitcoin,Ransomware
17ccRs2pUje8EFxnzES4yWzJ8drdDKAVKB,Bitcoin,Other
12DEpd9YPkC4n4WCsbpyMgZvTEDUtKkdHt,Bitcoin,Ransomware
16taVNGfMJdvJNDZ5dcBPz2oht2u3kQPqX,Bitcoin,Ransomware
1MXMasX9svvhTWhS8JxqQ5iupcf6eyJBgU,Bitcoin,Other
1E9qZgNC9KRnJfwZChcBtXN8D4g17T51p7,Bitcoin,Blackmail Scam
34P69s3H8W8sQX6iw7wPG419pYe8XQ7FqQ,Bitcoin,Other
bc1qasdht3n2zg39kdal0a00pu2r0en87m0zy7wvt2,Bitcoin,Blackmail Scam
bc1q3u0pmqzjvql29raqj73d0zn09pan5jg9qx4xes,Bitcoin,Blackmail Scam
bc1qcxeumd753mnjjjksdtus5nd00ys9hz37cewpns,Bitcoin,Blackmail Scam
3JYjRNbj1R1JVSuZnsNgh6Gi3UXR8xcaKj,Bitcoin,Sextortion Scam
1CjQqrEaGRdPgrEgWek8PyoDMA6daAdwSx,Bitcoin,Blackmail Scam
13Xp4WMQ4JvNzYfHTzxr6yny1kiQSMRNkn,Bitcoin,Blackmail Scam
196pG8KgNtG3QqhyN6uv2V88cyGSa36Dho,Bitcoin,Ransomware
17kmbhxxMsrFhmQNim1jbjD6AeBUQ2SbYp,Bitcoin,Ransomware
184uGAM7dGkVPYoGPvrUtzkL7WE5oHMMWz,Bitcoin,Other
13UweemoBpe6cYzg6T3urVePDAkpg8Xqwj,Bitcoin,Other
353T1a7dxBq4jQNfEvK4ZnnmLhuRAZxPht,Bitcoin,Blackmail Scam
bc1qac4ju5knvqu26tx0lpajhv6swrz5xdy6q4yu7t,Bitcoin,Blackmail Scam
bc1ql7k4386aeasjn0tvl2u5gp9v0djus8nwvxert3,Bitcoin,Hack
183FQQuKHr2846SoW7y8nDviFftJdhGwQL,Bitcoin,Blackmail Scam
1LgH3CmckPsCUwTcU6LEa9qSeSBuJTXqFg,Bitcoin,Blackmail Scam
bc1qrymchk8qtmwkvj94zlk0zlh07mqesqpxud9x8k,Bitcoin,Other
1FaATMxAxfbVbWTfFiwABMSTqqBnBv2CmW,Bitcoin,Other
1MXC6y66hvzKzzRdw7tXXNTXFz2N74WLxR,Bitcoin,Blackmail Scam
1No52KdDEAjsWmxv7chBKKbFxzXn1JP7Cw,Bitcoin,Ransomware
bc1qztups9svkpumd3r2kzkmhd6xv52qxxxrhze80w,Bitcoin,Other
bc1qxhz79er433kstdt8r0up4lfqz257ky0csxsmrq,Bitcoin,Sextortion Scam
14gRhCeQKNMdXrg3D8v1NowbCZKVZAHkWt,Bitcoin,Sextortion Scam
1NFNuyFwWkve3EHM8EWgEmhMEegDigYeMB,Bitcoin,Other
18cKBTXU3T2fP71JRKSyjgLmrUAsnhHrDQ,Bitcoin,Blackmail Scam
bc1qgxsng5q9dj6teg4wlw64v2mu6907cv050dxs53,Bitcoin,Sextortion Scam
1DjGYfhrRnYAQXHRbqBGMtggaQZMEQm8Nh,Bitcoin,Other
bc1q2duy4zcw5pd07rl40trrwhcslu3wf20yvkmazl,Bitcoin,Sextortion Scam
3CDq4QNSpyWmQR7A31D8bWVrzH2raFREj4,Bitcoin,Blackmail Scam
1Nq84HeDmd2JGyRtjqh32QRG4zoSrp8bdL,Bitcoin,Ransomware
bc1qeh9uws0sgxedv5xat88zdm5005m3aqa9e4xwaw,Bitcoin,Other
1H5Nf7X4UCwRyL55QSSFUXAckLnLoKL2h8,Bitcoin,Sextortion Scam
bc1qwupjg3wwepv5vs4p2g5sxzwqdx2feehts6ym3w,Bitcoin,Blackmail Scam
127fnd1eojhha6ym6uXhhYkphvgY3AMTcU,Bitcoin,Blackmail Scam
382VT2rFf5XG4pdTKS1kFLfqT5fWAGgK5g,Bitcoin,Blackmail Scam
1AWwMMYxFnsQUUrgD6mNWHN8ruoDtU7K3k,Bitcoin,Blackmail Scam
14kxH6tEgnxYiDPvpA9jLoyEfsxQHqexKc,Bitcoin,Ransomware
1DuDhqSWdmRxJjaRRSpa9wRH7yf9ncgw56,Bitcoin,Ransomware
13tHoTco3YQKWi7ogYjmrDqZkFs2dWe5Bw,Bitcoin,Blackmail Scam
bc1qk7620slk9yc7cmed7kvvdsrf9xxhjamftuxg6p,Bitcoin,Blackmail Scam
1VQv3k56BfwWLSEufAkQjiPPTZrWuaAgn,Bitcoin,Blackmail Scam
bc1qdtjkmwc0qn42p740f4pfp4pvvfsq792w6rwl6q,Bitcoin,Ransomware
bc1qxn3ck05ktxfl5remwshtsphp9ryuqzn3rw39au,Bitcoin,Sextortion Scam
1FgrwA58MufFRzKba7QD1NLS7PdJAFjBK5,Bitcoin,Blackmail Scam
bc1qs7tpj9tvuldlufesj2yemps2zxnad05t0wan4k,Bitcoin,Ransomware
1EGgvLwVTQ3UGnjk4LzcPwyXaEk2Fioqd5,Bitcoin,Sextortion Scam
bc1qexn7e3n06p2j2wjnrpdg9vuz3thd9fht90sykc,Bitcoin,Other
18kXxMp9NuTMUFVAfXR4TFT4CrrHWVzwm4,Bitcoin,Ransomware
3QL6RkN2txJJ5hP9LKU7QVkGw1BcreBgMR,Bitcoin,Blackmail Scam
176hSePwUyHECsoE7TUEhvGUyBxhwY6VDf,Bitcoin,Ransomware
3B8cjpTTYFdCpgjeQ7yfMp82QXqQeeRJwR,Bitcoin,Other
1Hjpu99iHc3oi55ZJKf6RHhKbwit8vEzTS,Bitcoin,Ransomware
18r8ftfovKza9cDEvVRaqRjkaDPXj16dAQ,Bitcoin,Other
1HAH8dWNVE4pqvMafFQoWBax3hXqcEWdVN,Bitcoin,Ransomware
1KV7crbemQri6FUxtU6AkpxgpSyFYV3WZF,Bitcoin,Blackmail Scam
1QKG5uTDq1GU8iNYqycitEL9dv9dctoQsV,Bitcoin,Blackmail Scam
1D8diS9yewWo5oVfkpVBqFCuh2g2yBnKWp,Bitcoin,Blackmail Scam
1EVe67RXBA28s14cnnsVv1WkxhtoXMjCTy,Bitcoin,Sextortion Scam
bc1q490xcuar56h4k5amp3vuzvdy5ra97yyhagmh8h,Bitcoin,Ransomware
bc1qfk7trpzsydgxmzxcx8wpqrznwgh6385hma98lj,Bitcoin,Sextortion Scam
15hc9hg9cqq7gKgqbFbxBziwAZewR9CQap,Bitcoin,Blackmail Scam
18Vp3mRwfBVZAvTz7oMpop9z4biLuvM49u,Bitcoin,Blackmail Scam
1JbC5QKzrGsVtWUtahEn5gNSGmALCnh3Rm,Bitcoin,Blackmail Scam
3NMiQm94ZPo3saafiQSWB1ic2hsPTissDD,Bitcoin,Sextortion Scam
15vE8hPEbZc2CxQxc9Q7qeuAqw3cNUGChv,Bitcoin,Ransomware
bc1q33c0l0r5yzx2xh27fzlje8lnu5yd408pkrupte,Bitcoin,Pigbutchering Scam
1K5AsYuzmYoC7zdPjNhvpN26bTYe85WUoL,Bitcoin,Ransomware
bc1qvdazystydeuvmmm4gha02v543lqh0te33x4ku6,Bitcoin,Ransomware
1Q7SUUhcUx2Fc8hMFi2U1Ukzj9aEyH7kBp,Bitcoin,Sextortion Scam
37v3Pmy53vu2coRR89YZQZZ6bySk2x56zb,Bitcoin,Blackmail Scam
3GWN1jk73YzoqVAUAn38EMDE9SoymxHPPw,Bitcoin,Sextortion Scam
bc1qeg5j7ckyvtc87l06qeaq7vncqugdkxhdmhvmcd,Bitcoin,Sextortion Scam
1E5XMWQtyYnCY4LkLnjMtqBMQNnC1KS3m3,Bitcoin,Ransomware
1JvBohLBA6vbq57JU4DcQGjw7ztfnfKvvB,Bitcoin,Ransomware
19ochW8SBCzR9kHg45J54oMLbp8MdLem3n,Bitcoin,Other
1JMpEzoR7b9q3kWfJW7JUfdrA1MkntM5SL,Bitcoin,Ransomware
bc1q2rk3krnplgc0xaml7ftaw32vjp5h0qs3e3ndd7,Bitcoin,Ransomware
bc1q8zl7425jy96xae7ze46gzsc0c0vlql92anp7eq,Bitcoin,Other
bc1qrylkddu852l0j9mmrve6dvfaqlacqr8gp9n497,Bitcoin,Blackmail Scam
